Control.1	Control.2	Control.3	Colistin.1	Colistin.2	Colistin.3
EAV54_06290	451	376	476	338	332	328
EAV54_06295	22	12	7	12	12	13
EAV54_06300	282	279	246	209	251	250
EAV54_06305	161	107	184	146	127	122
EAV54_06310	148	140	216	149	158	140
EAV54_06315	1364	1197	1580	2188	2661	2507
EAV54_06320	510	410	648	762	749	814
EAV54_06325	1049	932	1033	1130	1351	1256
EAV54_06330	18964	16809	20937	25650	29577	27027
EAV54_06335	417	400	593	475	383	464
EAV54_06340	3002	2172	2940	1471	1331	1861
EAV54_06345	3128	2483	3018	2200	2717	2786
EAV54_06350	14114	12433	13756	27189	25793	27644
EAV54_06355	2280	1797	2408	3538	3495	4095
EAV54_06360	1450	1457	1926	2739	3144	3047
EAV54_06365	746	541	808	1012	886	1049
EAV54_06370	842	713	779	955	1052	1105
EAV54_06375	537	361	537	427	390	477
EAV54_06380	2546	2277	2586	1865	1985	2103
EAV54_06385	305	262	208	339	412	500
EAV54_06390	2154	1774	2137	2568	2751	2821
EAV54_06395	2391	2259	2745	2125	2388	2466
EAV54_06400	608	543	632	416	405	453
EAV54_06405	1939	1919	2659	1536	1701	1671
EAV54_06410	1380	1131	1228	3414	3687	3453
EAV54_06415	4153	3369	3906	3291	3388	3718
EAV54_06420	3861	3212	4087	3053	3028	3619
EAV54_06425	543	509	506	571	560	689
EAV54_06430	160	129	155	184	189	163
EAV54_06435	591	418	572	452	514	535
EAV54_06440	2016	1515	2085	1386	1641	1631
EAV54_06445	316	283	328	280	302	320
EAV54_06450	4	2	4	5	3	4
EAV54_06455	71	68	40	59	51	59
EAV54_06460	5	2	1	7	3	6
EAV54_06465	5	1	0	0	2	0
EAV54_06470	314	271	279	335	360	362
EAV54_06475	332	243	322	251	301	313
EAV54_06480	519	429	509	386	454	445
EAV54_06485	0	0	0	0	0	0
EAV54_06490	0	0	0	0	0	0
EAV54_06495	0	0	0	0	0	0
EAV54_06500	0	0	0	0	0	0
EAV54_06505	0	0	0	0	0	0
EAV54_06510	0	0	0	0	0	0
EAV54_06515	1	2	1	0	2	0
EAV54_06520	0	0	0	0	0	0
EAV54_06525	0	0	0	0	0	0
EAV54_06530	0	0	0	0	0	0
EAV54_06535	0	0	0	0	0	0
EAV54_06540	0	0	0	0	0	0
EAV54_06545	0	0	0	1	0	0
EAV54_06550	0	0	0	0	0	0
EAV54_06555	0	0	0	0	0	0
EAV54_06560	0	0	0	0	0	0
EAV54_06565	0	0	0	0	0	0
EAV54_06570	0	0	0	0	0	0
EAV54_06575	0	0	0	0	0	0
EAV54_06580	0	0	0	0	0	0
EAV54_06585	0	0	0	0	0	0
EAV54_06590	0	0	0	0	0	0
EAV54_06595	0	0	0	0	0	0
EAV54_06600	1	0	0	0	0	0
EAV54_06605	0	0	0	0	2	0
EAV54_06610	4	9	6	3	3	8
EAV54_06615	0	0	0	0	0	0
EAV54_06620	0	0	0	0	0	0
EAV54_06625	0	0	0	0	0	0
EAV54_06630	0	0	0	0	0	0
EAV54_06635	0	0	0	0	0	0
EAV54_06640	0	0	1	0	0	0
EAV54_06645	0	0	0	0	0	0
EAV54_06650	0	0	0	0	0	0
EAV54_06655	0	0	0	0	0	0
EAV54_06660	0	0	0	0	0	0
EAV54_06665	0	0	0	0	0	0
EAV54_06670	0	0	0	0	0	0
EAV54_06675	0	0	0	0	0	0
EAV54_06680	190	149	250	214	216	190
EAV54_06685	304	240	352	215	247	273
EAV54_06690	1541	1421	1644	2922	3350	3469
EAV54_06695	13950	9959	15287	20009	14856	18399
EAV54_06700	1344	1603	2047	1159	1185	1172
EAV54_06705	856	639	733	604	682	708
EAV54_06710	5004	4065	5469	3512	4121	4151
EAV54_06715	4109	3518	4723	2221	2513	2710
EAV54_06720	4091	3579	4108	3709	4641	4477
EAV54_06725	6756	5798	7207	5938	7418	7194
EAV54_06730	2953	2326	3098	2481	2264	2683
EAV54_06735	812	814	1039	720	766	675
EAV54_06740	2330	2338	3198	1653	1960	1933
EAV54_06745	48367	44082	60555	17980	17339	16171
EAV54_06750	3544	2882	3190	3062	3649	3922
EAV54_06755	1366	1378	1615	1148	1408	1228
EAV54_06760	2579	2173	2965	894	987	923
EAV54_06765	2081	1593	1967	1156	1028	1287
EAV54_06770	4087	3176	3625	2806	3221	3009
EAV54_06775	1748	1452	1866	1654	2125	1916
EAV54_06780	618	564	642	531	541	501
EAV54_06785	3470	3289	4215	2925	3171	3244
EAV54_06790	1814	1465	1584	1542	1652	1869
EAV54_06795	8375	7959	10357	8645	9138	10202
EAV54_06800	13490	11972	14865	12768	12778	15025
EAV54_06805	968	865	958	838	1078	1190
EAV54_06810	199	172	132	145	158	155
EAV54_06815	1675	1481	1462	1122	1311	1421
EAV54_06820	14356	13375	14313	10647	13979	13729
EAV54_06825	15774	14563	15600	11102	13561	14413
EAV54_06830	1930	1912	2311	1780	1813	1956
EAV54_06835	34727	30308	34980	27369	33147	32549
EAV54_06840	1263	1297	1798	839	938	1014
EAV54_06845	463	396	467	539	590	623
EAV54_06850	262	241	300	303	334	333
EAV54_06855	190	128	152	207	275	247
EAV54_06860	79	97	120	114	126	136
EAV54_06865	464	479	606	417	484	500
EAV54_06870	245	275	307	1350	1651	1398
EAV54_06875	608	404	425	19156	22956	21622
EAV54_06880	343	225	233	10013	11944	11287
EAV54_06885	144	100	114	2602	2702	3042
EAV54_06890	285	205	266	217	245	240
EAV54_06895	249	201	289	219	238	196
EAV54_06900	1006	944	1080	732	873	803
EAV54_06905	356	249	346	233	305	293
EAV54_06910	333	271	399	213	219	223
EAV54_06915	698	477	622	720	928	966
EAV54_06920	576	378	485	661	840	746
EAV54_06925	1708	1243	1891	1866	2142	2187
EAV54_06930	1113	1113	1374	1283	1298	1289
EAV54_06935	3002	2355	2902	2671	2804	2939
EAV54_06940	5225	4178	5577	4934	5913	5606
EAV54_06945	1047	847	925	962	1034	1077
EAV54_06950	240	172	211	257	225	234
EAV54_06955	2407	1992	2651	1691	1801	1969
EAV54_06960	2468	1922	2553	1878	2193	2134
EAV54_06965	589	456	663	444	493	503
EAV54_06970	1787	1492	1986	1484	1391	1487
EAV54_06975	459	300	419	288	359	414
EAV54_06980	310	226	373	293	266	306
EAV54_06985	181	151	232	172	151	152
EAV54_06990	1347	1160	1457	1084	1223	1155
EAV54_06995	765	572	916	703	762	684
EAV54_07000	9966	8692	11071	6045	6675	6931
EAV54_07005	9567	8500	10633	5670	6232	6593
EAV54_07010	244	253	288	206	171	220
EAV54_07015	247	160	251	138	167	198
EAV54_07020	6028	5528	6241	5846	7328	7617
EAV54_07025	118	114	220	46	50	56
EAV54_07030	330	243	318	230	241	235
EAV54_07035	333	263	310	275	307	384
EAV54_07040	35	32	33	40	66	50
EAV54_07045	105	93	142	61	63	70
EAV54_07050	1591	1396	1523	1050	1451	1558
EAV54_07055	236	156	174	131	158	148
EAV54_07060	1468	1314	1532	661	434	664
EAV54_07065	2962	2562	2936	1669	1828	1801
EAV54_07070	3222	2861	3255	1992	2138	1974
EAV54_07075	213	156	272	134	142	165
EAV54_07080	505	444	603	525	523	519
EAV54_07085	342	241	333	228	223	249
EAV54_07090	1844	1531	1966	1804	2153	2011
EAV54_07095	3162	2540	3661	2308	2037	2459
EAV54_07100	2802	1906	2741	2343	1867	2439
EAV54_07105	200	220	286	260	269	230
EAV54_07110	1323	1390	1512	1434	1376	1432
EAV54_07115	78	66	100	62	55	55
EAV54_07120	787	637	790	625	693	765
EAV54_07125	1357	1380	1604	1336	1474	1467
EAV54_07130	4380	3966	4702	1962	2610	2670
EAV54_07135	332	234	333	307	286	324
EAV54_07140	226	150	168	175	189	193
EAV54_07145	189	159	158	215	300	256
EAV54_07150	92	82	92	108	102	121
EAV54_07155	3330	2068	3564	4712	4642	4875
EAV54_07160	749	514	705	993	1179	1137
EAV54_07165	2119	2201	2830	1840	2258	2120
EAV54_07170	1277	914	1194	1765	1832	1795
EAV54_07175	1677	1673	1983	1441	1589	1641
EAV54_07180	168	167	190	155	140	160
EAV54_07185	605	502	589	679	739	690
EAV54_07190	1071	868	1118	1046	1275	1130
EAV54_07195	661	605	529	835	953	757
EAV54_07200	11548	8928	11591	14200	15894	16076
EAV54_07205	0	0	0	0	0	0
EAV54_07210	0	0	0	0	0	0
EAV54_07215	0	0	0	0	0	0
EAV54_07220	0	0	0	0	0	0
EAV54_07225	125	136	184	166	202	169
EAV54_07230	102	70	80	73	83	93
EAV54_07235	109	116	120	122	103	96
EAV54_07240	226	216	274	120	173	138
EAV54_07245	116	94	119	92	103	73
EAV54_07250	11	6	26	10	13	5
EAV54_07255	18	21	4	14	6	7
EAV54_07260	851	812	927	242	236	268
EAV54_07265	1214	1175	1450	1158	1369	1337
EAV54_07270	1686	1471	2054	1377	1204	1199
EAV54_07275	2708	2766	3587	69	76	64
EAV54_07280	169	125	200	285	278	279
EAV54_07285	321	259	387	369	320	385
EAV54_07290	1195	1154	1275	966	859	927
EAV54_07295	193	175	213	115	142	145
EAV54_07300	86	87	118	66	61	66
EAV54_07305	676	613	848	467	449	423
EAV54_07310	4766	3906	6124	863	762	887
EAV54_07315	518	484	489	536	520	490
EAV54_07320	7514	6156	7108	3078	3589	3373
EAV54_07325	12	3	12	16	15	16
EAV54_07330	784	758	1102	556	502	501
EAV54_07335	265	192	214	166	239	199
EAV54_07340	94	57	93	64	72	89
EAV54_07345	83	66	89	106	125	94
EAV54_07350	143	129	166	126	123	133
EAV54_07355	353	291	352	294	296	352
EAV54_07360	13766	11727	15766	9038	9567	9094
EAV54_07365	151	112	178	135	160	159
EAV54_07370	32	40	46	90	89	75
EAV54_07375	1833	1658	1985	5395	6656	6795
EAV54_07380	1148	1028	1162	2297	2757	2683
EAV54_07385	1869	1876	2404	2741	2991	2886
EAV54_07390	949	738	902	1007	1181	1127
EAV54_07395	552	464	554	841	907	834
EAV54_07400	1093	1047	1122	2098	2466	2399
EAV54_07405	3638	3547	4184	3063	3461	3331
EAV54_07410	192	186	186	196	187	230
EAV54_07415	177	134	155	115	122	124
EAV54_07420	1022	999	1251	641	710	731
EAV54_07425	429	365	515	843	737	841
EAV54_07430	528	482	606	403	386	472
EAV54_07435	485	424	612	367	429	440
EAV54_07440	1247	1138	1602	1295	1308	1203
EAV54_07445	902	713	875	759	902	986
EAV54_07450	875	789	947	1107	1369	1257
EAV54_07455	309	235	364	265	282	297
EAV54_07460	1414	1137	1763	574	386	699
EAV54_07465	5074	4250	6863	1675	1690	2030
EAV54_07470	0	0	0	0	0	0
EAV54_07475	0	0	0	0	0	0
EAV54_07480	0	0	0	0	0	0
EAV54_07485	0	0	0	0	0	0
EAV54_07490	12	8	6	4	11	3
EAV54_07495	0	4	1	1	0	0
EAV54_07500	0	0	0	0	0	0
EAV54_07505	75	53	69	31	39	40
EAV54_07510	2	0	0	0	0	0
EAV54_07515	28	21	11	11	13	10
EAV54_07520	0	0	0	0	0	0
EAV54_07525	0	0	0	0	0	0
EAV54_07530	0	0	0	0	0	0
EAV54_07535	0	0	0	0	0	0
EAV54_07540	0	0	0	0	0	0
EAV54_07545	32	29	48	15	27	21
EAV54_07550	0	0	0	0	0	0
EAV54_07555	0	0	0	1	0	0
EAV54_07560	0	0	0	0	0	0
EAV54_07565	0	0	4	0	0	0
EAV54_07570	2	7	8	4	4	8
EAV54_07575	0	0	0	0	0	0
EAV54_07580	0	0	0	0	0	0
EAV54_07585	0	0	0	0	0	0
EAV54_07590	0	0	0	0	0	0
EAV54_07595	0	0	0	0	0	0
EAV54_07600	140	92	140	110	90	97
EAV54_07605	355	183	267	202	172	171
EAV54_07610	0	0	0	0	0	0
EAV54_07615	0	1	1	0	3	0
EAV54_07620	52	41	48	25	57	47
EAV54_07625	4	2	0	0	0	0
EAV54_07630	42	32	30	45	50	38
EAV54_07635	35	40	34	54	39	50
EAV54_07640	29	17	24	23	18	17
EAV54_07645	0	0	0	0	0	0
EAV54_07650	2	0	0	0	1	0
EAV54_07655	0	0	0	0	0	0
EAV54_07660	6	5	4	2	21	9
EAV54_07665	31	32	46	27	26	24
EAV54_07670	2	2	1	7	0	6
EAV54_07675	8	5	12	23	5	11
EAV54_07680	16	15	12	27	23	8
EAV54_07685	30	30	51	23	22	44
EAV54_07690	19	14	6	18	16	8
EAV54_07695	33	26	33	27	19	21
EAV54_07700	24	27	39	33	20	20
EAV54_07705	91	74	123	55	57	55
EAV54_07710	25	18	16	9	17	17
EAV54_07715	122	117	134	107	103	105
EAV54_07720	43	29	36	14	34	36
EAV54_07725	18	22	18	14	20	31
EAV54_07730	9	0	1	3	2	2
EAV54_07735	206	160	127	171	131	176
EAV54_07740	236	204	239	285	303	277
EAV54_07745	10	7	6	9	3	22
EAV54_07750	0	0	0	0	0	0
EAV54_07755	4	2	3	0	0	0
EAV54_07760	1245	1180	1127	808	900	924
EAV54_07765	11	26	16	19	12	22
EAV54_07770	9	5	8	11	5	5
EAV54_07775	7	9	2	2	2	6
EAV54_07780	221	158	175	137	158	183
EAV54_07785	0	0	0	0	0	0
EAV54_07790	7	5	7	6	8	6
EAV54_07795	31	18	25	23	17	34
EAV54_07800	0	0	0	0	0	0
EAV54_07805	0	0	0	1	0	0
EAV54_07810	0	0	0	0	0	0
EAV54_07815	0	0	0	0	0	0
EAV54_07820	295	230	291	223	203	238
EAV54_07825	465	275	427	499	407	515
EAV54_07830	2301	2096	2372	1559	1889	1774
EAV54_07835	4004	3887	4477	2988	2916	3169
EAV54_07840	820	633	915	487	476	530
EAV54_07845	157	131	159	138	132	146
EAV54_07850	6	3	2	5	9	5
EAV54_07855	155	183	161	140	208	181
EAV54_07860	150	194	177	182	199	176
EAV54_07865	1	0	3	6	3	2
EAV54_07870	154	142	161	189	192	166
EAV54_07875	60	45	52	49	54	55
EAV54_07880	352	271	341	255	275	278
EAV54_07885	64	45	74	74	63	75
EAV54_07890	227	180	215	224	250	240
EAV54_07895	742	658	877	718	751	729
EAV54_07900	150	156	200	156	184	183
EAV54_07905	666	645	953	714	804	879
EAV54_07910	526	513	562	531	636	675
EAV54_07915	560	441	598	561	592	591
EAV54_07920	1318	1150	1452	1135	1056	1200
EAV54_07925	427	362	387	313	331	344
EAV54_07930	115	102	88	105	115	112
EAV54_07935	143	114	118	152	133	174
EAV54_07940	52	30	61	28	36	51
EAV54_07945	210	135	200	146	180	167
EAV54_07950	5560	3783	4690	4684	4951	4843
EAV54_07955	7597	5356	6728	7678	8740	8121
EAV54_07960	6618	5156	6310	6674	7731	7285
EAV54_07965	2612	2692	3154	3110	2709	2517
EAV54_07970	826	754	1131	747	496	703
EAV54_07975	545	479	758	560	370	480
EAV54_07980	486	387	497	480	410	543
EAV54_07985	20503	15607	24197	14148	15663	15398
EAV54_07990	1022	917	1194	842	803	862
EAV54_07995	394	352	466	334	542	453
EAV54_08000	234	251	267	237	219	252
EAV54_08005	2372	2158	2588	2260	2329	2367
EAV54_08010	6634	5372	7427	4365	4497	4978
EAV54_08015	3435	2853	3573	2875	3584	3265
EAV54_08020	2015	1731	2036	1536	1823	1724
EAV54_08025	38	53	37	39	33	44
EAV54_08030	4001	3525	4501	3972	4862	4814
EAV54_08035	1927	1805	2177	2100	2495	2304
EAV54_08040	1104	1034	1267	1149	1275	1465
EAV54_08045	693	548	701	686	760	798
EAV54_08050	862	757	956	771	848	1062
EAV54_08055	1299	1073	1205	1328	1295	1478
EAV54_08060	3816	3501	4590	4440	4606	4849
EAV54_08065	5449	4719	6181	7358	8046	7969
EAV54_08070	2202	2148	3146	2891	2555	2906
EAV54_08075	1447	1306	1592	1509	1570	1680
EAV54_08080	6866	7098	9506	4185	4755	4578
EAV54_08085	1297	1175	1435	877	1023	996
EAV54_08090	4607	4369	6348	5528	5255	5180
EAV54_08095	115	78	64	145	121	210
EAV54_08100	309	249	253	364	355	409
EAV54_08105	11315	10741	14952	14521	15848	16259
EAV54_08110	6530	4430	5509	8213	7746	9189
EAV54_08115	365	285	387	395	407	441
EAV54_08120	140	156	176	75	57	85
EAV54_08125	249	200	265	155	99	140
EAV54_08130	289	190	222	194	218	194
EAV54_08135	751	576	716	722	734	710
EAV54_08140	34	50	71	55	30	59
EAV54_08145	55	16	37	712	720	715
EAV54_08150	82	46	64	466	460	433
EAV54_08155	180	114	197	630	475	534
EAV54_08160	1154	929	1303	596	602	614
EAV54_08165	405	298	310	288	309	316
EAV54_08170	1971	1605	1976	895	866	859
EAV54_08175	5761	5136	6715	3389	3854	3709
EAV54_08180	15138	13930	15963	11898	12410	11623
EAV54_08185	1057	914	1259	760	954	879
EAV54_08190	467	472	723	623	367	505
EAV54_08195	420	501	577	704	723	724
EAV54_08200	916	780	1055	838	961	1027
EAV54_08205	508	451	509	455	523	590
EAV54_08210	3010	2660	3321	3016	3325	3335
EAV54_08215	132	100	130	149	144	159
EAV54_08220	273	275	338	329	348	402
EAV54_08225	188	153	193	224	174	200
EAV54_08230	2841	2556	4211	4200	3526	3728
EAV54_08235	3110	2630	3437	2775	3028	3418
EAV54_08240	1527	1477	1908	1290	1276	1325
EAV54_08245	1839	1605	2147	1476	1486	1737
EAV54_08250	46	54	61	49	36	56
EAV54_08255	14177	13424	16903	12131	11763	13268
EAV54_08260	672	596	589	492	559	669
EAV54_08265	3821	3255	4358	4089	3640	3755
EAV54_08270	2590	2126	2950	1571	1517	1475
EAV54_08275	269	129	207	130	91	131
EAV54_08280	3032	2186	2874	1870	1647	1988
EAV54_08285	390	310	387	263	338	331
EAV54_08290	1731	1417	1955	1838	2090	2001
EAV54_08295	942	815	994	953	932	866
EAV54_08300	46	43	37	103	89	106
EAV54_08305	14	30	36	39	19	21
EAV54_08310	25	28	26	23	45	46
EAV54_08315	18	16	31	35	16	17
EAV54_08320	1298	1311	1401	893	1310	1387
EAV54_08325	1563	1456	1438	915	1231	1351
EAV54_08330	37	28	46	31	35	33
EAV54_08335	381	312	371	321	345	300
EAV54_08340	139	116	171	123	120	150
EAV54_08345	1572	1367	1714	1294	1526	1666
EAV54_08350	728	692	806	296	397	414
EAV54_08355	3810	3274	4051	2777	3329	3366
EAV54_08360	817	663	831	562	628	610
EAV54_08365	301	218	292	304	383	384
EAV54_08370	756	626	810	825	814	815
EAV54_08375	1492	1352	1652	1061	1380	1439
EAV54_08380	1397	1274	1684	1134	1143	1125
EAV54_08385	1189	1155	1352	1061	1137	1201
EAV54_08390	1671	1408	2059	1799	2033	2056
EAV54_08395	1281	1186	1329	919	1014	1026
EAV54_08400	1809	1393	1769	1742	2037	2024
EAV54_08405	656	602	660	799	795	775
EAV54_08410	8574	6595	7761	7827	9596	8902
EAV54_08415	130	112	122	134	181	120
EAV54_08420	2479	2205	2916	1959	1882	1963
EAV54_08425	1451	1417	1861	1667	1682	1644
EAV54_08430	161	195	180	124	141	183
EAV54_08435	360	315	385	431	554	534
EAV54_08440	66	49	49	76	70	69
EAV54_08445	226	192	251	181	192	193
EAV54_08450	296	257	325	290	370	341
EAV54_08455	97	82	78	61	86	76
EAV54_08460	6865	7207	9696	5761	5380	5637
EAV54_08465	9127	8001	9361	6692	8103	8429
EAV54_08470	1207	910	1172	960	1172	1196
EAV54_08475	2549	2435	2855	3317	3778	3991
EAV54_08480	564	495	680	520	567	554
EAV54_08485	2947	2658	3128	2899	3017	3151
EAV54_08490	463	400	471	608	615	601
EAV54_08495	111	88	93	193	216	172
EAV54_08500	30	18	28	37	48	42
EAV54_08505	118	80	58	159	173	186
EAV54_08510	109	60	77	128	146	155
EAV54_08515	96	70	100	124	128	142
EAV54_08520	71	53	53	92	105	105
EAV54_08525	27	26	23	48	66	66
EAV54_08530	85	70	74	139	143	159
EAV54_08535	55	52	66	64	94	69
EAV54_08540	44	22	57	87	100	100
EAV54_08545	253	228	215	330	367	375
EAV54_08550	181	132	179	192	180	204
EAV54_08555	321	237	287	294	371	332
EAV54_08560	1916	2145	3058	935	1084	998
EAV54_08565	41	36	21	36	25	39
EAV54_08570	44	37	80	39	31	57
EAV54_08575	504	414	513	473	477	398
EAV54_08580	243	253	317	260	259	253
EAV54_08585	99	66	142	78	69	81
EAV54_08590	297	259	295	175	207	221
EAV54_08595	817	705	1081	623	706	782
EAV54_08600	513	442	493	358	460	406
EAV54_08605	468	415	530	399	421	421
EAV54_08610	30	20	15	20	32	30
EAV54_08615	72	56	60	37	32	56
EAV54_08620	385	293	502	294	287	293
EAV54_08625	21	11	11	14	12	18
EAV54_08630	7	3	8	6	10	12
EAV54_08635	4	4	7	3	6	5
EAV54_08640	8	8	9	12	24	19
EAV54_08645	7	9	24	14	21	28
EAV54_08650	5	11	6	16	20	16
EAV54_08655	24	15	23	19	17	41
EAV54_08660	53	22	36	36	51	51
EAV54_08665	113	95	108	109	104	114
EAV54_08670	100	76	86	105	91	90
EAV54_08675	108	78	106	130	128	116
EAV54_08680	25	7	16	24	41	42
EAV54_08685	75	88	98	152	175	184
EAV54_08690	124	110	103	121	127	126
EAV54_08695	107	123	118	147	153	189
EAV54_08700	36	48	35	53	65	69
EAV54_08705	65	58	56	77	107	101
EAV54_08710	25	27	33	35	51	56
EAV54_08715	196	195	277	333	408	363
EAV54_08720	74	63	92	103	128	99
EAV54_08725	242	187	241	257	310	335
EAV54_08730	530	466	634	562	485	552
EAV54_08735	392	332	380	430	388	429
EAV54_08740	983	804	1138	836	832	890
EAV54_08745	49	31	45	59	52	64
EAV54_08750	54	36	54	46	53	51
EAV54_08755	143	142	164	149	227	189
EAV54_08760	69	55	69	58	86	96
EAV54_08765	139	94	99	95	137	83
EAV54_08770	1609	1336	1389	1210	1572	1361
EAV54_08775	98	131	107	67	113	90
EAV54_08780	1409	1072	1207	1083	1444	1167
EAV54_08785	351	264	371	347	291	350
EAV54_08790	1	3	13	6	6	8
EAV54_08795	629	574	689	580	516	534
EAV54_08800	3274	2811	3663	1829	2198	1838
EAV54_08805	767	599	681	478	595	537
EAV54_08810	143	140	182	143	170	177
EAV54_08815	420	460	501	442	510	493
EAV54_08820	148	76	132	170	198	159
EAV54_08825	0	0	0	0	0	0
EAV54_08830	0	0	0	0	0	0
EAV54_08835	0	0	0	0	0	0
EAV54_08840	0	0	0	0	0	0
EAV54_08845	0	0	0	0	0	0
EAV54_08850	0	0	0	0	0	0
EAV54_08855	0	0	0	0	0	0
EAV54_08860	0	0	0	1	0	0
EAV54_08865	1	3	1	0	0	1
EAV54_08870	78	43	42	46	45	54
EAV54_08875	67	52	62	37	42	51
EAV54_08880	11	8	6	9	8	17
EAV54_08885	0	0	0	0	0	0
EAV54_08890	0	0	0	0	0	0
EAV54_08895	0	0	0	0	0	0
EAV54_08900	0	0	0	0	0	0
EAV54_08905	0	0	0	0	0	0
EAV54_08910	703	581	903	550	376	637
EAV54_08915	0	0	0	0	0	0
EAV54_08920	4	2	2	3	2	5
EAV54_08925	0	0	0	0	0	0
EAV54_08930	0	0	0	0	0	0
EAV54_08935	168	136	122	130	213	176
EAV54_08940	97	57	52	68	96	93
EAV54_08945	105	121	69	115	118	107
EAV54_08950	183	142	171	164	142	182
EAV54_08955	114	68	109	103	127	116
EAV54_08960	72	50	70	49	57	61
EAV54_08965	143	159	169	149	162	181
EAV54_08970	11	8	8	1	14	4
EAV54_08975	32	26	40	22	28	14
EAV54_08980	151	99	150	209	207	204
EAV54_08985	162	96	166	205	225	219
EAV54_08990	178	159	152	116	106	122
EAV54_08995	79	64	70	74	98	100
EAV54_09000	213	163	164	189	234	210
EAV54_09005	38	19	26	31	29	25
EAV54_09010	73	80	77	79	76	90
EAV54_09015	14	19	18	15	17	23
EAV54_09020	48	32	45	43	48	79
EAV54_09025	95	92	84	95	103	131
EAV54_09030	462	415	589	348	470	458
EAV54_09035	503	472	538	396	486	468
EAV54_09040	69	69	67	54	91	86
EAV54_09045	12	11	17	35	32	30
EAV54_09050	103	80	92	90	66	85
EAV54_09055	49	29	41	34	37	30
EAV54_09060	51	57	73	74	89	64
EAV54_09065	10	4	6	16	21	13
EAV54_09070	376	372	490	349	503	448
EAV54_09075	372	280	366	342	486	493
EAV54_09080	616	467	619	394	437	446
EAV54_09085	475	380	429	381	402	411
EAV54_09090	0	0	0	0	0	0
EAV54_09095	0	0	0	0	0	0
EAV54_09100	0	0	0	0	0	0
EAV54_09105	129	136	147	110	133	127
EAV54_09110	436	338	481	371	368	405
EAV54_09115	173	211	257	724	680	785
EAV54_09120	113	99	117	200	214	245
EAV54_09125	120	144	156	160	144	169
EAV54_09130	101	69	111	86	115	124
EAV54_09135	105	84	119	105	177	145
EAV54_09140	55	54	84	87	85	102
EAV54_09145	93	77	76	82	87	81
EAV54_09150	59	46	50	28	44	64
EAV54_09155	277	214	401	191	200	226
EAV54_09160	0	0	0	0	0	0
EAV54_09165	145	169	169	116	77	108
EAV54_09170	89	57	56	32	37	82
EAV54_09175	21	17	20	34	20	27
EAV54_09180	0	0	0	0	0	0
EAV54_09185	0	0	0	0	0	0
EAV54_09190	2	0	0	4	6	4
EAV54_09195	0	0	0	0	0	0
EAV54_09200	0	0	0	0	0	0
EAV54_09205	1	0	0	0	0	0
EAV54_09210	1694	1361	1876	1584	1750	2059
EAV54_09215	1132	950	1512	1438	1311	1516
EAV54_09220	668	552	777	764	836	884
EAV54_09225	161	77	126	137	177	170
EAV54_09230	50	25	32	48	40	64
EAV54_09235	115	54	69	75	111	98
EAV54_09240	287	258	305	241	282	274
EAV54_09245	118	101	120	568	571	605
EAV54_09250	0	0	0	0	0	0
EAV54_09255	162	137	172	96	105	106
EAV54_09260	286	207	336	209	237	207
EAV54_09265	502	390	589	973	1224	1403
EAV54_09270	1012	946	1145	1638	2040	2421
EAV54_09275	0	0	0	0	0	1
EAV54_09280	0	0	0	0	0	0
EAV54_09285	0	0	0	0	0	0
EAV54_09290	0	0	0	0	0	0
EAV54_09295	0	0	0	0	0	0
EAV54_09300	0	0	0	0	0	3
EAV54_09305	0	0	0	0	0	0
EAV54_09310	0	0	0	0	0	0
EAV54_09315	0	0	0	0	0	0
EAV54_09320	0	0	0	0	0	0
EAV54_09325	0	0	0	0	0	0
EAV54_09330	0	0	0	0	0	0
EAV54_09335	0	0	0	0	0	0
EAV54_09340	0	0	0	0	0	0
EAV54_09345	0	0	0	0	0	0
EAV54_09350	0	0	0	0	0	0
EAV54_09355	97	87	111	33	29	56
EAV54_09360	413	394	450	269	319	343
EAV54_09365	479	305	410	269	299	260
EAV54_09370	674	565	665	488	660	638
EAV54_09375	333	256	350	286	298	308
EAV54_09380	260	202	325	181	160	202
EAV54_09385	826	928	944	696	888	805
EAV54_09390	3379	3236	4293	2073	2390	2077
EAV54_09395	2035	1608	2110	1060	1078	1076
EAV54_09400	17156	15460	19334	3602	2639	2971
EAV54_09405	7584	6712	9024	394	454	553
EAV54_09410	670	477	603	567	605	685
EAV54_09415	1743	1201	1589	837	896	923
EAV54_09420	1405	1331	1497	482	368	385
EAV54_09425	3478	3113	4120	2026	1433	1837
EAV54_09430	815	639	825	1013	1134	1120
EAV54_09435	1145	889	1158	1295	1514	1607
EAV54_09440	733	572	677	811	922	980
EAV54_09445	879	580	701	846	1068	1063
EAV54_09450	3984	2916	4104	4458	4712	5074
EAV54_09455	14	13	34	32	26	28
EAV54_09460	2857	2188	3246	2272	2140	2414
EAV54_09465	174	161	172	447	532	480
EAV54_09470	78	73	72	37	28	29
EAV54_09475	149	140	191	47	57	49
EAV54_09480	63	71	86	25	29	27
EAV54_09485	130	111	157	145	154	144
EAV54_09490	344	286	299	308	340	373
EAV54_09495	459	314	433	402	409	392
EAV54_09500	99	55	101	80	50	60
EAV54_09505	107	86	120	140	144	143
EAV54_09510	12	9	11	17	13	23
EAV54_09515	153	139	128	117	171	165
EAV54_09520	294	290	368	340	285	287
EAV54_09525	32	24	55	39	35	52
EAV54_09530	7	5	10	10	32	22
EAV54_09535	29	16	22	15	36	13
