Control.1	Control.2	Control.3	Colistin.1	Colistin.2	Colistin.3
EAV54_01335	303	292	311	191	240	197
EAV54_01340	8951	10122	11238	5165	6418	5565
EAV54_01345	3	0	4	5	1	2
EAV54_01350	2753	2314	2634	2369	2963	3008
EAV54_01355	4764	3771	4118	3916	4979	4614
EAV54_01360	5118	4448	5434	5974	6995	6255
EAV54_01365	237	237	230	305	293	267
EAV54_01370	798	659	934	1037	1120	928
EAV54_01375	0	0	0	0	0	0
EAV54_01380	0	0	0	0	1	0
EAV54_01385	0	0	0	0	0	0
EAV54_01390	3055	2256	3218	1352	1402	1356
EAV54_01395	7492	6463	7599	5723	6964	7100
EAV54_01400	591	569	647	113	126	129
EAV54_01405	218	194	280	176	145	159
EAV54_01410	3027	2465	2832	1803	2096	2365
EAV54_01415	0	0	0	0	0	0
EAV54_01420	0	0	0	0	0	0
EAV54_01425	55	43	79	62	70	74
EAV54_01430	681	597	728	571	605	660
EAV54_01435	651	576	556	418	427	486
EAV54_01440	697	522	632	752	767	844
EAV54_01445	6	1	0	1	0	0
EAV54_01450	11	8	15	9	16	23
EAV54_01455	239	261	361	213	172	172
EAV54_01460	598	565	653	802	843	987
EAV54_01465	7	5	1	7	5	4
EAV54_01470	6	9	14	4	7	2
EAV54_01475	3041	3084	3638	2936	3718	3454
EAV54_01480	5525	5373	6809	6310	6663	7193
EAV54_01485	881	558	979	375	335	330
EAV54_01490	1792	1434	1834	1762	2025	1943
EAV54_01495	578	518	565	518	514	577
EAV54_01500	2541	2177	2626	2411	2907	2925
EAV54_01505	2437	2161	2479	2569	2969	2941
EAV54_01510	1196	896	949	887	1224	1232
EAV54_01515	591	465	511	621	707	791
EAV54_01520	121	119	137	137	106	140
EAV54_01525	253	238	285	209	288	304
EAV54_01530	6720	6207	7426	6665	7888	7278
EAV54_01535	123	113	109	73	94	94
EAV54_01540	14	18	18	18	10	22
EAV54_01545	48	60	84	31	38	57
EAV54_01550	24	35	21	18	36	22
EAV54_01555	241	267	282	208	233	264
EAV54_01560	563	418	607	424	471	519
EAV54_01565	1022	869	1265	838	859	880
EAV54_01570	1334	1232	1677	1601	1707	1569
EAV54_01575	8471	6970	8006	7668	9877	9635
EAV54_01580	1099	1010	1089	1101	1407	1434
EAV54_01585	49	61	67	117	104	122
EAV54_01590	4481	3984	5196	2407	2508	2585
EAV54_01595	985	720	827	547	634	645
EAV54_01600	741	690	885	671	699	599
EAV54_01605	49	48	38	52	69	39
EAV54_01610	651	562	657	719	894	830
EAV54_01615	2624	1779	2711	6462	5665	6401
EAV54_01620	93	63	96	20	39	12
EAV54_01625	1219	1095	1263	1053	1060	1213
EAV54_01630	9982	9014	10507	8471	9706	8926
EAV54_01635	9	8	15	3	6	4
EAV54_01640	515	337	442	330	364	411
EAV54_01645	2191	1880	2181	1938	1919	2057
EAV54_01650	1727	1611	1850	1329	1702	1566
EAV54_01655	28	28	40	19	31	30
EAV54_01660	6	2	13	5	12	6
EAV54_01665	52	36	49	39	63	41
EAV54_01670	87	57	90	62	81	92
EAV54_01675	928	805	905	942	983	951
EAV54_01680	85	70	87	73	96	75
EAV54_01685	30	36	40	23	31	25
EAV54_01690	2053	1531	1663	1455	1854	1981
EAV54_01695	5290	3693	4060	3768	4265	5418
EAV54_01700	3986	3120	3424	2997	3817	4283
EAV54_01705	1934	1688	1988	2226	2452	2780
EAV54_01710	303	253	248	235	282	299
EAV54_01715	98	97	147	140	151	133
EAV54_01720	398	355	401	344	385	420
EAV54_01725	313	286	308	358	316	345
EAV54_01730	9185	8858	13561	10886	10715	10754
EAV54_01735	4128	3597	5421	4731	5063	4884
EAV54_01740	390	252	391	257	266	348
EAV54_01745	2956	2672	3076	2548	3053	3069
EAV54_01750	6195	5680	6791	4546	5811	5599
